Date,Budget,Expense,Income ($),Expense ($),Source Tab,Matched Keyword,Matched Vendor,Reimbursable Trip,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
6/13/2025,Restaurant,Jimmy Johns - 1732 Eco,$0.00,$10.80,2,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,
2/25/2025,Restaurant,Jimmy Johns - 3287,$0.00,$4.97,2,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,
3/25/2025,Restaurant,Jimmy Johns - 3287,$0.00,$6.87,2,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,
7/22/2025,Restaurant,Jimmy Johns - 3287,$0.00,$4.97,2,jimmy johns,,TRUE,,,,,,,,,,,,,,,,,FALSE
2/12/2025,Restaurant,Jimmy Johns - 3287 - E,$0.00,$8.89,2,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,
7/31/2025,Restaurant,Jimmy Johns - 3287 - E,$0.00,$4.97,2,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,
7/19/2025,Restaurant,JIMMY JOHNS # 96 AMES IA,$0.00,$19.74,1,jimmy johns,,FALSE,,,,,,,,,,,,,,,,,FALSE
10/3/2025,Education,JOSTENS INC.,$0.00,$58.69,1,jostens,,FALSE,,,,,,,,,,,,,,,,,FALSE
5/2/2025,Transportation,KECK AIRPORT PARKING DES MOINES IA,$0.00,$50.00,1,airport parking,,TRUE,,,,,,,,,,,,,,,,,FALSE
5/17/2025,Transportation,KECK PARKING DES MOINES IA,$0.00,$10.00,1,keck parking,,FALSE,,,,,,,,,,,,,,,,,
5/17/2025,Transportation,KECK PARKING DES MOINES IA,$0.00,$10.00,1,keck parking,,FALSE,,,,,,,,,,,,,,,,,
1/19/2025,Giving,KEYSTONE CHURCH ANKENY IA,$0.00,$10.00,1,keystone church,,FALSE,,,,,,,,,,,,,,,,,
2/1/2025,Giving,KEYSTONE CHURCH ANKENY IA,$0.00,$75.00,1,keystone church,,FALSE,,,,,,,,,,,,,,,,,
8/28/2025,Giving,KEYSTONE CHURCH ANKENY IA,$0.00,$40.00,1,keystone church,,FALSE,,,,,,,,,,,,,,,,,FALSE
9/7/2025,Giving,KEYSTONE CHURCH ANKENY IA,$0.00,$130.00,1,keystone church,,FALSE,,,,,,,,,,,,,,,,,
5/9/2025,Clothing,KOHL'S 0623 ANKENY IA,$109.05,$0.00,1,kohl's,,FALSE,,,,,,,,,,,,,,,,,
5/11/2025,Clothing,Kohls 0623 1935 Se Del,$0.00,$62.36,2,kohls,,FALSE,,,,,,,,,,,,,,,,,
2/20/2025,Transportation,KUM&GO 0022R GRINNELL GRINNELL IA,$0.00,$10.57,1,kum&go,,FALSE,,,,,,,,,,,,,,,,,
7/14/2025,Transportation,KUM&GO 0076R ADAIR ADAIR IA,$0.00,$0.95,1,kum&go,,TRUE,,,,,,,,,,,,,,,,,FALSE
7/18/2025,Transportation,KUM&GO 0076R ADAIR ADAIR IA,$0.00,$3.85,1,kum&go,,TRUE,,,,,,,,,,,,,,,,,FALSE
2/24/2025,Transportation,Kum&Go 0535R Des Moin,$0.00,$3.40,2,kum&go,,FALSE,,,,,,,,,,,,,,,,,FALSE
3/27/2025,Transportation,KWIK STAR #1057 ANKENY IA,$0.00,$6.86,1,kwik star,,FALSE,,,,,,,,,,,,,,,,,
5/26/2025,Transportation,KWIK STAR #1057 ANKENY IA,$0.00,$8.21,1,kwik star,,FALSE,,,,,,,,,,,,,,,,,
4/20/2025,Transportation,KWIK STAR #1089 POLK CITY IA,$0.00,$8.07,1,kwik star,,FALSE,,,,,,,,,,,,,,,,,
2/16/2025,Transportation,KWIK STAR #947 CEDAR RAPIDS IA,$0.00,$17.35,1,kwik star,,TRUE,,,,,,,,,,,,,,,,,FALSE
3/2/2025,Transportation,Kwik Star 1057,$0.00,$20.12,2,kwik star,,FALSE,,,,,,,,,,,,,,,,,
5/12/2025,Transportation,Kwik Star 1057,$0.00,$6.99,2,kwik star,,FALSE,,,,,,,,,,,,,,,,,
5/30/2025,Transportation,KWIK TRIP #117 DULUTH MN,$0.00,$28.85,1,kwik trip,,FALSE,,,,,,,,,,,,,,,,,
6/1/2025,Transportation,KWIK TRIP #141 TWO HARBORS MN,$0.00,$6.69,1,kwik trip,,FALSE,,,,,,,,,,,,,,,,,
3/28/2025,Restaurant,LAKINGSCONFECTIONARY GALVESTON TX,$0.00,$8.61,1,laking,,FALSE,,,,,,,,,,,,,,,,,
3/28/2025,Restaurant,LAKINGSCONFECTIONARY GALVESTON TX,$0.00,$5.00,1,laking,,FALSE,,,,,,,,,,,,,,,,,
5/29/2025,Housing,LOWES #00907*,$0.00,$603.14,1,lowes,,FALSE,,,,,,,,,,,,,,,,,
5/29/2025,Housing,LOWES #00907*,$0.00,$34.96,1,lowes,,FALSE,,,,,,,,,,,,,,,,,
5/30/2025,Housing,LOWES #00907*,$0.00,$232.14,1,lowes,,FALSE,,,,,,,,,,,,,,,,,
3/28/2025,Retail,LS BEL PRI JEWELRY AND GALVESTON TX,$0.00,$47.63,1,ls bel pri jewelry,,FALSE,,,,,,,,,,,,,,,,,
10/15/2025,Retail,LS BIKE COUNTRY,$0.00,$30.20,5,ls bike country,,FALSE,,,,,,,,,,,,,,,,,
5/30/2025,Retail,LS BIKE COUNTRY ANKENY IA,$0.00,$106.00,1,ls bike country,,FALSE,,,,,,,,,,,,,,,,,
1/19/2025,Entertainment,LS DUNGEONS GATE ANKENY IA,$0.00,$14.83,1,ls dungeons gate,,FALSE,,,,,,,,,,,,,,,,,
2/16/2025,Restaurant,MAI PHO VIETNAMESE RES CEDAR RAPIDS IA,$0.00,$47.20,1,mai pho,,TRUE,,,,,,,,,,,,,,,,,FALSE
8/23/2025,Restaurant,Main Street Cafe & Bak,$0.00,$45.74,2,main street cafe,,FALSE,,,,,,,,,,,,,,,,,
2/8/2025,Vacation,MARITIME COMMUNICATION MELBOURNE FL,$0.00,$31.80,1,maritime communication,,FALSE,,,,,,,,,,,,,,,,,
7/24/2025,Clothing,Mercari*888-325-2168,$0.00,$20.80,2,mercari,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/24/2025,Clothing,Mercari*888-325-2168,$0.00,$21.78,2,mercari,,FALSE,,,,,,,,,,,,,,,,,FALSE
3/27/2025,Clothing,Mercari*888-325-2168,$0.00,$23.36,2,mercari,,FALSE,,,,,,,,,,,,,,,,,
4/23/2025,Clothing,Mercari*888-325-2168,$0.00,$27.33,2,mercari,,FALSE,,,,,,,,,,,,,,,,,
2/4/2025,Retail,MICHAELS STORES 3733 ANKENY IA,$0.00,$9.64,1,michaels,,FALSE,,,,,,,,,,,,,,,,,
2/4/2025,Retail,MICHAELS STORES 3733 ANKENY IA,$0.00,$6.13,1,michaels,,FALSE,,,,,,,,,,,,,,,,,
10/7/2025,Utilities,MIDAMERICAN ENERGY,$0.00,$131.08,5,midamerican,,FALSE,,,,,,,,,,,,,,,,,
2/27/2025,Health,MOBILE CHECK DEPOSIT,$241.50,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
6/9/2025,Health,MOBILE CHECK DEPOSIT,$202.25,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
6/9/2025,Health,MOBILE CHECK DEPOSIT,$200.00,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
9/11/2025,Health,MOBILE CHECK DEPOSIT,$260.50,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
9/22/2025,Health,MOBILE CHECK DEPOSIT,$101.03,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
9/29/2025,Health,MOBILE CHECK DEPOSIT,$41.40,$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
9/11/2025,Transportation,MOBILE CHECK DEPOSIT,"$1,314.76",$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/15/2025,Vacation,MOBILE CHECK DEPOSIT,"$5,008.00",$0.00,5,mobile check deposit,,FALSE,,,,,,,,,,,,,,,,,FALSE
10/9/2025,Transportation,NAPA STORE 3124005,$0.00,$52.98,5,napa store,,FALSE,,,,,,,,,,,,,,,,,
2/23/2025,Clothing,Nike Altoona 263,$0.00,$4.02,2,nike,,FALSE,,,,,,,,,,,,,,,,,FALSE
6/9/2025,Clothing,Nike Altoona 263,$0.00,$11.22,2,nike,,FALSE,,,,,,,,,,,,,,,,,
5/30/2025,Clothing,NIKE ALTOONA 263 ALTOONA IA,$0.00,$2.62,1,nike,,FALSE,,,,,,,,,,,,,,,,,
5/28/2025,Clothing,NIKE.COM,$0.00,$2.37,1,nike.com,,FALSE,,,,,,,,,,,,,,,,,
6/28/2025,Clothing,NIKE.COM,$2.37,$0.00,1,nike.com,,FALSE,,,,,,,,,,,,,,,,,
8/18/2025,Education,OFFICIAL SPORTS INTERN WARSAW IN,$0.00,$64.80,1,official sports,,FALSE,,,,,,,,,,,,,,,,,
5/3/2025,Entertainment,OLD SCHOOL PINBALL GRIMES IA,$0.00,$48.69,1,old school pinball,,FALSE,,,,,,,,,,,,,,,,,FALSE
1/18/2025,Restaurant,Olive Garden Zk 002183,$0.00,$25.35,2,olive garden,,FALSE,,,,,,,,,,,,,,,,,
8/27/2025,Restaurant,Olive Garden Zk 002183,$0.00,$33.05,2,olive garden,,FALSE,,,,,,,,,,,,,,,,,
9/25/2025,Vacation,ONLINE PASSPORT FEES CHARLESTON SC,$0.00,$130.00,1,online passport fees,,FALSE,,,,,,,,,,,,,,,,,
2/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
3/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
4/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
6/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
7/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
8/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
9/5/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$21.20,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
10/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$21.20,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,
5/3/2025,Subscriptions,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,$0.00,$20.00,1,openai *chatgpt,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/28/2025,Retail,ORCA SEATTLE WA,$0.00,$3.00,1,orca,,TRUE,,,,,,,,,,,,,,,,,FALSE
9/11/2025,Restaurant,Panera Bread #203206 O,$0.00,$2.79,2,panera bread,,FALSE,,,,,,,,,,,,,,,,,
9/5/2025,Restaurant,Panera Bread #203206 P,$0.00,$13.90,2,panera bread,,FALSE,,,,,,,,,,,,,,,,,
8/23/2025,Restaurant,PANERA BREAD #203220 O,$0.00,$13.77,1,panera bread,,FALSE,,,,,,,,,,,,,,,,,
5/19/2025,Restaurant,Panera Bread #203220 O,$0.00,$3.06,2,panera bread,,FALSE,,,,,,,,,,,,,,,,,
10/13/2025,Subscriptions,PANERA SIP CLUB 203220 O,$0.00,$127.19,5,panera sip club,,FALSE,,,,,,,,,,,,,,,,,
1/21/2025,Vacation,PARK HYATT BVR CRK F&B AVON CO,$0.00,$9.92,1,park hyatt,,FALSE,,,,,,,,,,,,,,,,,
5/29/2025,Restaurant,PARKWAY PIZZA -NORTHEA MINNEAPOLIS MN,$0.00,$7.83,1,parkway pizza,,FALSE,,,,,,,,,,,,,,,,,
8/7/2025,Transportation,"PARKWHIZ, INC. CHICAGO IL",$0.00,$44.00,1,parkwhiz,,FALSE,,,,,,,,,,,,,,,,,
7/17/2025,Vacation,PROJECTEXPEDITION TOUR NEW YORK NY,$950.00,$0.00,1,projectexpedition,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/22/2025,Vacation,PROJECTEXPEDITION TOUR NEW YORK NY,"$1,975.00",$0.00,1,projectexpedition,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/14/2025,Vacation,PROJECTEXPEDITION TOUR NEW YORK NY,$0.00,$950.00,1,projectexpedition,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/14/2025,Vacation,PROJECTEXPEDITION TOUR NEW YORK NY,$0.00,"$1,975.00",1,projectexpedition,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/20/2025,Vacation,PROJECTEXPEDITION TOUR NEW YORK NY,$0.00,"$1,572.90",1,projectexpedition,,FALSE,,,,,,,,,,,,,,,,,FALSE
3/8/2025,Restaurant,PY *PIZZA RANCH - BOON BOONE IA,$0.00,$18.62,1,pizza ranch,,TRUE,,,,,,,,,,,,,,,,,FALSE
1/24/2025,Restaurant,Py *Smokey Row Ankeny,$0.00,$5.30,2,smokey row,,FALSE,,,,,,,,,,,,,,,,,
9/14/2025,Restaurant,Py *Smokey Row Ankeny,$0.00,$3.57,2,smokey row,,FALSE,,,,,,,,,,,,,,,,,
9/28/2025,Restaurant,PY *SMOKEY ROW ANKENY ANKENY IA,$0.00,$5.04,1,smokey row,,FALSE,,,,,,,,,,,,,,,,,
1/20/2025,Restaurant,QDOBA 2964 NORTH PLATTE NE,$0.00,$13.17,1,qdoba,,FALSE,,,,,,,,,,,,,,,,,
6/7/2025,Transportation,Qt 500,$0.00,$4.80,2,qt,,FALSE,,,,,,,,,,,,,,,,,
6/11/2025,Transportation,Qt 517,$0.00,$8.93,2,qt,,FALSE,,,,,,,,,,,,,,,,,
9/8/2025,Transportation,QT 517 WEST DES MOIN IA,$0.00,$5.84,1,qt,,FALSE,,,,,,,,,,,,,,,,,
4/24/2025,Transportation,Qt 541,$0.00,$2.24,2,qt,,FALSE,,,,,,,,,,,,,,,,,
8/19/2025,Transportation,QT 541 DES MOINES IA,$0.00,$14.78,1,qt,,FALSE,,,,,,,,,,,,,,,,,
5/23/2025,Transportation,Qt 559,$0.00,$0.94,2,qt,,FALSE,,,,,,,,,,,,,,,,,
3/7/2025,Subscriptions,QUSTODIO,$0.00,$86.35,1,qustodio,,FALSE,,,,,,,,,,,,,,,,,FALSE
1/24/2025,Restaurant,RAISING CANES 0235 OMAHA NE,$0.00,$12.31,1,raising canes,,FALSE,,,,,,,,,,,,,,,,,
9/20/2025,Restaurant,Raising Canes 0823 Mob,$0.00,$12.71,2,raising canes,,FALSE,,,,,,,,,,,,,,,,,
5/30/2025,Entertainment,RAO MNHUNTFISH VEHICLE DNR.STATE.MN. MN,$0.00,$15.45,1,mnhuntfish,,FALSE,,,,,,,,,,,,,,,,,
7/3/2025,Housing,RASMUSSEN LAWN CARE ANKENY IA,$0.00,$98.56,1,rasmussen lawn care,,FALSE,,,,,,,,,,,,,,,,,
8/28/2025,Housing,RASMUSSEN LAWN CARE ANKENY IA,$0.00,$39.61,1,rasmussen lawn care,,FALSE,,,,,,,,,,,,,,,,,FALSE
1/24/2025,Vacation,REATATRAVELSTOP-STERLI STERLING CO,$0.00,$3.52,1,reatatravelstop,,FALSE,,,,,,,,,,,,,,,,,
7/9/2025,Restaurant,RED CHILLEZ INDIAN CUI ANKENY IA,$0.00,$47.48,1,red chillez,,FALSE,,,,,,,,,,,,,,,,,
4/20/2025,Restaurant,Restaurant (Venmo),$0.00,$5.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
8/11/2025,Restaurant,Restaurants (Venmo),$50.00,$0.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/19/2025,Retail,Retail (Venmo),$0.00,$100.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
5/9/2025,Retail,Retail (Venmo),$0.00,$8.15,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
5/18/2025,Retail,Retail (Venmo),$0.00,$20.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
5/22/2025,Retail,Retail (Venmo),$0.00,$40.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
6/7/2025,Retail,Retail (Venmo),$15.48,$0.00,3,venmo,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/14/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,"$5,008.70",1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/7/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$114.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/7/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$114.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/4/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,$411.96,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/4/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,$229.98,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/6/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,$307.96,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/6/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,$171.98,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/8/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$66.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/8/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$114.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/8/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$114.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
8/8/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$114.99,$0.00,1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
9/1/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,"$1,250.00",1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
9/24/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,"$2,400.30",1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
9/24/2025,Vacation,ROYAL CARIBBEAN CRUIS MIAMI FL,$0.00,"$3,126.95",1,royal caribbean,,FALSE,,,,,,,,,,,,,,,,,
2/6/2025,Restaurant,Sam'S Club,$0.00,$30.79,2,sam's club,,FALSE,,,,,,,,,,,,,,,,,
1/17/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$0.00,$82.84,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
4/17/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$12.78,$0.00,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
4/11/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$0.00,$55.97,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
4/19/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$0.00,$17.54,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
5/15/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$0.00,$3.35,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
7/11/2025,Restaurant,SAM'S CLUB 006979 ANKENY IA,$0.00,$36.29,1,sam's club,,FALSE,,,,,,,,,,,,,,,,,
4/13/2025,Restaurant,Sams Club Sam'S Club,$0.00,$21.92,2,sam's club,,FALSE,,,,,,,,,,,,,,,,,
4/16/2025,Groceries,SAMS CLUB.COM 006279 BENTONVILLE AR,$0.00,$90.39,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
4/24/2025,Groceries,SAMS CLUB.COM 006279 BENTONVILLE AR,$0.00,$86.28,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
6/30/2025,Groceries,SAMS CLUB.COM 006279 BENTONVILLE AR,$0.00,$97.76,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
10/3/2025,Groceries,SAMS CLUB.COM 006279 BENTONVILLE AR,$0.00,$37.88,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
10/3/2025,Groceries,SAMS CLUB.COM 006279 BENTONVILLE AR,$0.00,$51.24,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
9/27/2025,Groceries,"SAMS CLUB.COM 006279 BENTONVILLE AR
 , CLOVERDALE TANGY SSG, COLESLAW,
 MM SHR-W MOZ PT SKM, MM CHK CHED
 SHARP, COSMIC CRISP APPLE, MM",$0.00,$64.41,1,sams club.com,,FALSE,,,,,,,,,,,,,,,,,
